original_price,discount_percent,item_category,campaign_type,channel,hour_of_day,day_of_week,days_since_first_event,user_product_view_count,user_product_purchase_count,user_product_interaction_count,user_activity_count,item_popularity,conversion_probability,converted_predicted,user_pseudo_id,item_id
401.08,0,Books,Abandoned Cart Recovery,Social Media,14,Friday,47,1,0,1,25,59,0.5035832,1,user_903,item_700
20.7,50,Electronics,Category-Specific,Referral,9,Friday,29,1,0,1,24,58,0.5261801,1,user_1144,item_398
176.58,10,Beauty,Abandoned Cart Recovery,Push Notification,12,Wednesday,47,0,0,0,25,49,0.5188604,1,user_1535,item_991
166.3,20,Apparel,Category-Specific,Referral,12,Wednesday,11,0,1,1,25,45,0.3367815,0,user_1788,item_299
348.21,20,Sports,Abandoned Cart Recovery,On-site Banner,13,Saturday,56,0,0,0,33,64,0.36520088,0,user_1198,item_641
232.04,20,Sports,Abandoned Cart Recovery,On-site Banner,11,Friday,0,1,0,1,20,60,0.48995388,0,user_786,item_837
394.12,20,Grocery,Abandoned Cart Recovery,Referral,8,Thursday,3,0,0,0,30,50,0.27307832,0,user_634,item_75
302.71,50,Toys,First-Time Buyer,Push Notification,17,Saturday,15,1,0,1,24,52,0.84367955,1,user_552,item_9
290.22,20,Books,Category-Specific,Push Notification,14,Wednesday,35,0,0,0,21,47,0.28268406,0,user_1810,item_622
106.04,0,Toys,Flash Sale,Social Media,12,Tuesday,11,0,0,0,26,55,0.3437563,0,user_1311,item_16
407.67,50,Home,First-Time Buyer,Social Media,14,Thursday,33,1,0,1,28,55,0.7054649,1,user_976,item_668
120.17,30,Sports,Flash Sale,On-site Banner,12,Friday,0,1,0,1,22,41,0.33240473,0,user_1019,item_481
475.5,30,Electronics,Category-Specific,Push Notification,20,Tuesday,46,0,0,0,22,49,0.44154865,0,user_1675,item_376
70.4,20,Books,Category-Specific,On-site Banner,12,Wednesday,35,0,0,0,30,47,0.47000763,0,user_1776,item_453
394.9,30,Footwear,First-Time Buyer,Push Notification,11,Wednesday,46,0,1,1,35,62,0.419285,0,user_1775,item_10
380.77,70,Automotive,First-Time Buyer,On-site Banner,9,Tuesday,1,0,0,0,35,46,0.81813395,1,user_1897,item_824
492.73,20,Books,First-Time Buyer,Social Media,11,Sunday,51,0,0,0,27,50,0.2559173,0,user_459,item_304
108.93,30,Beauty,Abandoned Cart Recovery,Referral,16,Sunday,36,1,0,1,21,55,0.38769102,0,user_1739,item_716
388.39,50,Automotive,Flash Sale,Social Media,18,Sunday,22,0,0,0,33,61,0.5877071,1,user_1618,item_593
208.89,10,Books,Category-Specific,Referral,15,Tuesday,24,1,0,1,28,42,0.28257468,0,user_228,item_615
281.75,50,Apparel,Category-Specific,On-site Banner,12,Monday,45,0,0,0,22,58,0.78566265,1,user_1348,item_997
149.86,0,Books,Abandoned Cart Recovery,Referral,9,Thursday,12,0,0,0,24,44,0.3205322,0,user_1264,item_723
372.63,50,Electronics,Category-Specific,Referral,13,Sunday,34,1,0,1,23,50,0.7232917,1,user_1158,item_802
321.13,50,Electronics,Category-Specific,On-site Banner,18,Friday,13,0,0,0,33,50,0.8549996,1,user_1677,item_190
262.32,30,Electronics,Category-Specific,On-site Banner,12,Saturday,0,1,0,1,27,62,0.45969328,0,user_1754,item_909
77.88,50,Grocery,Category-Specific,Referral,17,Friday,0,1,0,1,22,49,0.5896125,1,user_1900,item_210
327.5,30,Sports,Generic,Referral,18,Friday,0,1,0,1,26,57,0.22942325,0,user_1373,item_388
181.95,30,Toys,Flash Sale,Referral,8,Tuesday,38,1,0,1,29,45,0.05997209,0,user_955,item_942
322.08,10,Toys,Category-Specific,Social Media,11,Thursday,41,0,0,0,16,55,0.32958817,0,user_1921,item_379
486.59,10,Beauty,Abandoned Cart Recovery,Social Media,21,Sunday,58,1,0,1,30,51,0.20941219,0,user_1215,item_560
279.62,10,Toys,Flash Sale,On-site Banner,13,Sunday,9,1,0,1,25,51,0.47009087,0,user_819,item_672
36.17,0,Grocery,Abandoned Cart Recovery,Social Media,14,Friday,19,0,0,0,18,58,0.08320477,0,user_697,item_999
412.39,50,Books,Category-Specific,On-site Banner,10,Thursday,13,1,0,1,20,61,0.71434796,1,user_827,item_444
149.56,30,Beauty,First-Time Buyer,Email,17,Wednesday,5,0,0,0,31,55,0.2511919,0,user_573,item_394
117.63,50,Home,Generic,Email,17,Thursday,20,0,0,0,23,49,0.8343451,1,user_474,item_960
205.35,0,Beauty,Flash Sale,Push Notification,21,Monday,17,0,0,0,35,51,0.19801123,0,user_520,item_601
243.83,50,Automotive,First-Time Buyer,Push Notification,17,Thursday,40,1,0,1,24,51,0.80430806,1,user_1669,item_344
423.66,0,Electronics,Category-Specific,Social Media,10,Thursday,48,0,0,0,23,65,0.5786785,1,user_327,item_599
85.95,30,Books,Flash Sale,Social Media,13,Monday,56,0,0,0,27,45,0.33161777,0,user_1297,item_463
270.66,30,Home,Category-Specific,Referral,16,Monday,31,0,0,0,20,51,0.3136235,0,user_491,item_835
385.55,0,Grocery,Generic,Referral,16,Thursday,18,0,0,0,23,57,0.32558313,0,user_321,item_787
429.52,30,Home,First-Time Buyer,Referral,21,Thursday,34,0,0,0,25,58,0.13931622,0,user_1999,item_696
82.08,50,Home,First-Time Buyer,Email,15,Friday,30,1,0,1,19,53,0.5746047,1,user_618,item_767
430.36,30,Books,Category-Specific,Push Notification,14,Wednesday,11,0,0,0,20,37,0.45237505,0,user_1096,item_66
81.94,20,Toys,Flash Sale,On-site Banner,10,Sunday,13,0,1,1,29,47,0.472789,0,user_1026,item_841
415.43,20,Beauty,Generic,Email,13,Friday,42,0,0,0,19,41,0.32561845,0,user_412,item_645
184.51,10,Books,Category-Specific,Push Notification,10,Friday,26,0,1,1,26,54,0.37985882,0,user_1005,item_681
89.96,70,Beauty,First-Time Buyer,Email,15,Tuesday,28,0,0,0,28,63,0.4847345,0,user_1596,item_505
95.05,10,Automotive,Category-Specific,On-site Banner,14,Sunday,58,0,0,0,18,42,0.07813568,0,user_688,item_449
386.11,20,Apparel,Category-Specific,On-site Banner,9,Tuesday,31,0,0,0,26,60,0.37589702,0,user_1204,item_598
173.52,10,Home,Flash Sale,Email,19,Tuesday,15,1,0,1,23,47,0.21727197,0,user_832,item_477
429.46,20,Toys,Generic,Referral,12,Wednesday,39,0,0,0,28,46,0.23773727,0,user_1920,item_625
359.34,30,Automotive,Flash Sale,Push Notification,19,Tuesday,7,0,0,0,28,56,0.2385927,0,user_1354,item_768
284.02,50,Footwear,Category-Specific,Email,16,Monday,10,1,0,1,24,52,0.7914645,1,user_1127,item_15
355.47,50,Toys,Category-Specific,Email,17,Wednesday,9,0,1,1,24,55,0.8260546,1,user_1983,item_181
309.35,0,Automotive,Abandoned Cart Recovery,Push Notification,8,Wednesday,54,1,0,1,31,58,0.578402,1,user_1684,item_530
489.99,30,Grocery,Flash Sale,Referral,8,Thursday,13,0,0,0,24,44,0.29510376,0,user_1733,item_618
219.74,30,Footwear,Flash Sale,Social Media,17,Saturday,25,1,0,1,29,42,0.43339643,0,user_665,item_511
101.24,10,Sports,Flash Sale,Email,18,Tuesday,11,1,0,1,23,56,0.28990865,0,user_1916,item_757
146.47,30,Grocery,Category-Specific,Push Notification,10,Friday,40,1,0,1,30,63,0.35953695,0,user_1179,item_989
287.74,30,Sports,Generic,Social Media,19,Friday,19,0,0,0,23,50,0.32982475,0,user_732,item_686
98.95,0,Toys,First-Time Buyer,Referral,12,Thursday,32,0,0,0,30,41,0.44941202,0,user_1914,item_853
259.95,0,Grocery,Generic,Referral,16,Friday,6,0,0,0,27,61,0.30177972,0,user_1754,item_464
60.33,10,Automotive,Abandoned Cart Recovery,On-site Banner,12,Tuesday,19,0,1,1,25,69,0.05878625,0,user_518,item_849
86.15,20,Apparel,Category-Specific,Push Notification,8,Saturday,2,1,0,1,31,47,0.46356964,0,user_1469,item_171
252.85,0,Apparel,Category-Specific,Push Notification,10,Sunday,36,0,0,0,18,63,0.264125,0,user_613,item_989
312.36,30,Home,Flash Sale,On-site Banner,8,Saturday,14,0,0,0,29,39,0.43888998,0,user_53,item_5
260.67,50,Footwear,Generic,Push Notification,8,Thursday,18,1,0,1,23,43,0.75990266,1,user_1078,item_447
362.17,0,Beauty,Flash Sale,Social Media,10,Thursday,6,0,0,0,20,57,0.3258237,0,user_70,item_986
458.54,70,Apparel,Category-Specific,Email,16,Monday,56,0,0,0,36,55,0.27518156,0,user_2000,item_926
334.5,30,Sports,Category-Specific,Push Notification,21,Friday,0,1,0,1,26,60,0.23226538,0,user_1797,item_896
422.59,50,Beauty,Generic,Email,12,Monday,59,0,1,1,34,60,0.501745,1,user_393,item_178
328.78,20,Apparel,Category-Specific,Email,17,Saturday,33,1,0,1,18,58,0.36378258,0,user_690,item_675
167.75,50,Sports,Abandoned Cart Recovery,On-site Banner,12,Tuesday,15,0,0,0,28,50,0.5398947,1,user_208,item_498
141.28,20,Sports,Flash Sale,Referral,20,Saturday,0,1,0,1,16,64,0.21498743,0,user_1885,item_566
37.64,0,Electronics,Category-Specific,Email,18,Wednesday,8,1,0,1,32,58,0.19724306,0,user_302,item_999
142.94,20,Sports,Category-Specific,Email,21,Saturday,15,1,0,1,35,49,0.46713805,0,user_525,item_701
57.27,10,Sports,Category-Specific,Email,15,Tuesday,38,0,0,0,30,45,0.27381015,0,user_534,item_579
435.1,0,Electronics,Category-Specific,Social Media,14,Tuesday,39,0,0,0,27,55,0.5000076,1,user_459,item_340
322.53,20,Automotive,Category-Specific,Referral,15,Saturday,29,0,0,0,27,63,0.23851794,0,user_1142,item_505
129.28,30,Home,Generic,Push Notification,18,Sunday,1,1,0,1,23,49,0.22423807,0,user_405,item_823
108.33,10,Footwear,Category-Specific,Email,15,Monday,23,0,0,0,33,50,0.27232444,0,user_1745,item_818
84.64,20,Toys,Category-Specific,On-site Banner,11,Tuesday,9,0,0,0,20,61,0.31658205,0,user_1401,item_567
35.57,20,Automotive,Flash Sale,Email,13,Saturday,21,0,0,0,31,56,0.31298843,0,user_1100,item_925
184.13,0,Grocery,Abandoned Cart Recovery,Email,17,Monday,57,1,0,1,29,63,0.19343469,0,user_1451,item_247
260.69,20,Automotive,Flash Sale,On-site Banner,15,Wednesday,19,0,0,0,25,54,0.33570644,0,user_1003,item_659
426.71,50,Automotive,Generic,Email,11,Saturday,55,0,0,0,30,53,0.8129123,1,user_1631,item_416
390.98,10,Sports,Flash Sale,Push Notification,21,Sunday,9,1,0,1,27,58,0.36938432,0,user_1503,item_398
367.64,50,Sports,Generic,Push Notification,21,Tuesday,39,0,0,0,27,55,0.766686,1,user_1625,item_792
361.82,10,Grocery,First-Time Buyer,Referral,15,Thursday,18,1,0,1,27,59,0.48305014,0,user_107,item_690
470.77,20,Beauty,Generic,Referral,8,Sunday,51,0,0,0,23,38,0.07281247,0,user_1464,item_895
393.63,50,Books,First-Time Buyer,Email,17,Thursday,7,0,0,0,30,59,0.7923236,1,user_1043,item_545
123.09,50,Footwear,Abandoned Cart Recovery,Email,14,Tuesday,30,1,0,1,25,48,0.71506625,1,user_1147,item_906
92.55,20,Books,Abandoned Cart Recovery,Email,19,Friday,42,0,0,0,34,51,0.25600764,0,user_762,item_70
20.08,0,Electronics,Category-Specific,On-site Banner,18,Sunday,6,1,0,1,36,42,0.12673658,0,user_2000,item_73
160.2,20,Books,Generic,Push Notification,8,Monday,59,1,0,1,34,52,0.24732333,0,user_1843,item_891
492.26,30,Toys,Generic,Push Notification,21,Saturday,49,0,0,0,22,62,0.28646624,0,user_684,item_946
32.01,20,Toys,Generic,Referral,18,Tuesday,53,1,0,1,26,55,0.27622172,0,user_377,item_869
102.08,0,Sports,Generic,On-site Banner,17,Sunday,9,0,1,1,34,46,0.58129185,1,user_727,item_785
208.14,50,Apparel,Category-Specific,Referral,14,Thursday,5,1,0,1,36,50,0.69887537,1,user_361,item_428
111.81,50,Apparel,Category-Specific,Email,16,Monday,8,1,0,1,23,52,0.80427635,1,user_1279,item_620
303.93,30,Beauty,First-Time Buyer,On-site Banner,9,Friday,54,1,0,1,18,53,0.32734168,0,user_1404,item_300
154.41,20,Sports,Category-Specific,Email,18,Monday,56,0,0,0,21,53,0.46154824,0,user_9,item_546
412.09,0,Footwear,Generic,Push Notification,8,Sunday,22,1,0,1,23,54,0.19778569,0,user_268,item_234
494.33,0,Apparel,Category-Specific,Referral,20,Wednesday,40,1,0,1,26,34,0.32824233,0,user_1822,item_845
342.77,30,Beauty,Category-Specific,On-site Banner,13,Tuesday,52,0,0,0,19,60,0.2784595,0,user_248,item_598
481.07,0,Home,Category-Specific,On-site Banner,15,Tuesday,46,0,1,1,25,44,0.094737776,0,user_1300,item_276
124.54,30,Electronics,Category-Specific,Referral,14,Friday,55,1,0,1,27,51,0.095155835,0,user_997,item_835
97.43,70,Electronics,Category-Specific,On-site Banner,9,Thursday,53,1,0,1,20,41,0.6611464,1,user_1401,item_400
217.64,30,Automotive,Generic,On-site Banner,11,Wednesday,11,1,0,1,24,54,0.29844716,0,user_1907,item_678
399.13,50,Books,First-Time Buyer,On-site Banner,13,Friday,49,1,0,1,29,52,0.7177443,1,user_1111,item_777
493.93,20,Grocery,First-Time Buyer,Social Media,15,Monday,16,1,0,1,25,63,0.30089366,0,user_121,item_989
216.29,30,Grocery,Category-Specific,On-site Banner,18,Saturday,15,0,0,0,26,50,0.41000384,0,user_1924,item_136
123.59,20,Books,Flash Sale,On-site Banner,12,Sunday,37,0,0,0,28,43,0.41163486,0,user_100,item_524
239.29,20,Electronics,Category-Specific,Social Media,21,Friday,56,0,0,0,31,52,0.4036418,0,user_54,item_423
270.21,50,Apparel,Category-Specific,Social Media,15,Thursday,45,1,0,1,23,58,0.85769945,1,user_656,item_417
333.32,30,Home,Generic,Push Notification,18,Thursday,6,1,0,1,24,57,0.2974336,0,user_837,item_102
163.51,50,Beauty,First-Time Buyer,Referral,18,Friday,28,1,0,1,24,50,0.847914,1,user_1944,item_35
137.1,30,Toys,Generic,Push Notification,8,Monday,56,0,1,1,26,46,0.26025248,0,user_237,item_371
307.59,10,Grocery,Abandoned Cart Recovery,Push Notification,9,Wednesday,19,0,0,0,31,50,0.4236408,0,user_1456,item_304
361.26,50,Toys,Category-Specific,Email,15,Monday,10,0,0,0,23,41,0.74196136,1,user_1415,item_291
29.2,70,Apparel,Category-Specific,Referral,21,Friday,18,0,0,0,24,66,0.5979013,1,user_845,item_718
350.48,70,Apparel,Category-Specific,Email,14,Monday,1,1,0,1,33,56,0.5266956,1,user_162,item_838
201.52,20,Footwear,Category-Specific,Referral,18,Thursday,27,1,0,1,28,49,0.43582088,0,user_865,item_850
279.68,20,Sports,Category-Specific,Referral,12,Tuesday,4,1,0,1,19,46,0.38974816,0,user_1704,item_824
149.82,0,Apparel,Category-Specific,Email,21,Thursday,27,0,0,0,26,48,0.43847835,0,user_68,item_403
428.38,10,Electronics,Category-Specific,Social Media,21,Monday,58,0,1,1,28,42,0.40958267,0,user_406,item_829
469.51,30,Beauty,Generic,On-site Banner,20,Saturday,5,1,0,1,23,45,0.3603403,0,user_911,item_232
98.57,10,Grocery,Generic,Push Notification,13,Sunday,9,0,0,0,36,49,0.4176694,0,user_1202,item_900
202.23,30,Automotive,Flash Sale,Push Notification,17,Thursday,34,1,0,1,26,41,0.44638285,0,user_1526,item_298
350.25,10,Books,Generic,Social Media,20,Wednesday,18,0,0,0,24,50,0.2930755,0,user_282,item_765
127.64,30,Home,First-Time Buyer,On-site Banner,10,Friday,49,0,0,0,28,57,0.26179725,0,user_807,item_964
488.21,50,Grocery,Generic,On-site Banner,11,Tuesday,17,1,0,1,27,57,0.75240934,1,user_140,item_95
164.92,20,Apparel,Category-Specific,Push Notification,19,Monday,2,1,0,1,32,43,0.3625364,0,user_834,item_502
397.58,20,Home,Generic,On-site Banner,11,Saturday,44,1,0,1,24,50,0.23656073,0,user_1750,item_660
456.31,20,Automotive,First-Time Buyer,Referral,17,Sunday,36,1,0,1,29,41,0.22660762,0,user_1836,item_776
232.32,20,Books,Generic,Push Notification,18,Wednesday,11,1,0,1,22,41,0.4614403,0,user_253,item_905
251.8,0,Apparel,Category-Specific,Referral,8,Wednesday,26,1,0,1,24,36,0.2467931,0,user_91,item_480
206.01,50,Grocery,Category-Specific,Push Notification,8,Friday,32,0,0,0,29,40,0.49987903,0,user_745,item_784
183.93,50,Sports,Abandoned Cart Recovery,Email,12,Saturday,15,1,0,1,30,57,0.38935253,0,user_220,item_102
390.66,20,Apparel,Category-Specific,On-site Banner,19,Thursday,11,1,0,1,17,50,0.24954438,0,user_109,item_818
420.33,30,Books,Abandoned Cart Recovery,On-site Banner,18,Sunday,37,1,0,1,29,47,0.47433645,0,user_154,item_24
96.66,10,Sports,Flash Sale,Push Notification,8,Friday,40,0,0,0,37,42,0.21786125,0,user_1563,item_615
355.12,30,Electronics,Category-Specific,Referral,20,Thursday,20,1,0,1,28,44,0.43935677,0,user_532,item_723
337.37,20,Footwear,Generic,Social Media,15,Friday,55,1,0,1,23,58,0.24293602,0,user_611,item_317
46.75,50,Apparel,Category-Specific,Push Notification,15,Tuesday,23,1,0,1,29,54,0.7168002,1,user_18,item_754
387.46,10,Toys,Abandoned Cart Recovery,Push Notification,10,Wednesday,5,1,0,1,23,51,0.32957286,0,user_123,item_85
48.64,20,Automotive,First-Time Buyer,Push Notification,15,Sunday,0,0,0,0,34,49,0.16561253,0,user_187,item_755
103.59,10,Automotive,Category-Specific,On-site Banner,13,Sunday,13,0,0,0,29,40,0.24369293,0,user_1629,item_142
42.93,0,Beauty,Generic,Referral,16,Friday,23,0,1,1,27,45,0.20055877,0,user_568,item_856
376.55,0,Apparel,Category-Specific,On-site Banner,14,Saturday,55,0,0,0,20,47,0.43782008,0,user_1842,item_165
255.94,0,Sports,Category-Specific,Referral,15,Saturday,41,1,0,1,24,54,0.24495862,0,user_342,item_657
349.92,0,Home,Category-Specific,Push Notification,20,Wednesday,24,0,0,0,22,45,0.26209033,0,user_1997,item_531
281.13,50,Electronics,Category-Specific,Email,10,Tuesday,6,0,1,1,31,54,0.8102028,1,user_1958,item_504
457.14,50,Toys,Flash Sale,Push Notification,9,Wednesday,12,0,0,0,24,52,0.80743563,1,user_1485,item_486
376.21,30,Books,Abandoned Cart Recovery,Social Media,10,Sunday,15,1,0,1,25,48,0.63795394,1,user_297,item_948
288.06,30,Electronics,Category-Specific,Push Notification,13,Monday,9,0,0,0,15,45,0.21404554,0,user_1211,item_589
270.99,0,Electronics,Category-Specific,Referral,11,Saturday,7,0,0,0,18,56,0.24587183,0,user_1177,item_649
138.4,20,Beauty,Category-Specific,Push Notification,12,Friday,20,1,0,1,18,61,0.23361385,0,user_1316,item_444
125.61,50,Electronics,Category-Specific,Social Media,11,Thursday,22,0,0,0,17,41,0.7512437,1,user_1805,item_680
169.54,20,Books,Generic,Social Media,20,Saturday,7,0,1,1,19,51,0.13503857,0,user_1386,item_944
301.68,50,Sports,Generic,Referral,9,Thursday,6,1,0,1,30,44,0.8039274,1,user_1024,item_529
78.51,0,Toys,Category-Specific,Push Notification,15,Thursday,27,1,0,1,25,49,0.44111067,0,user_1543,item_613
121.05,70,Beauty,Generic,On-site Banner,11,Monday,17,0,0,0,26,62,0.8294336,1,user_1953,item_10
297.12,20,Electronics,Category-Specific,On-site Banner,13,Wednesday,40,0,0,0,26,51,0.34106442,0,user_16,item_70
430.83,0,Grocery,Category-Specific,Social Media,10,Friday,20,1,0,1,19,56,0.23139992,0,user_344,item_434
30.06,30,Sports,Flash Sale,Social Media,18,Sunday,8,0,0,0,28,53,0.57899106,1,user_69,item_20
405.33,50,Beauty,Abandoned Cart Recovery,Push Notification,15,Thursday,54,1,0,1,26,56,0.6042212,1,user_181,item_460
477.37,30,Grocery,Abandoned Cart Recovery,Referral,10,Sunday,45,1,0,1,29,43,0.21483862,0,user_1302,item_386
423.31,50,Apparel,Category-Specific,Social Media,12,Sunday,2,1,0,1,21,36,0.7925421,1,user_106,item_741
275.92,10,Grocery,Generic,Email,12,Sunday,48,1,0,1,27,47,0.1446186,0,user_1823,item_207
224.62,70,Toys,Generic,On-site Banner,18,Tuesday,24,1,0,1,24,58,0.51069653,1,user_493,item_7
276.45,20,Footwear,First-Time Buyer,Push Notification,8,Saturday,28,1,0,1,27,43,0.6159571,1,user_1845,item_1
91.19,50,Beauty,First-Time Buyer,Social Media,18,Tuesday,4,1,0,1,21,50,0.5743168,1,user_1870,item_238
96.34,0,Apparel,Category-Specific,Social Media,20,Tuesday,31,1,0,1,21,51,0.34722432,0,user_1262,item_683
437.0,20,Sports,Generic,Referral,8,Friday,13,0,1,1,25,47,0.37745738,0,user_84,item_212
205.97,30,Sports,Flash Sale,Push Notification,8,Friday,0,0,0,0,31,50,0.38727853,0,user_1787,item_793
480.79,30,Electronics,Category-Specific,Email,12,Wednesday,23,0,0,0,27,51,0.4178579,0,user_1636,item_70
226.98,10,Apparel,Category-Specific,Email,8,Friday,6,1,0,1,31,45,0.20967591,0,user_231,item_942
475.8,30,Automotive,First-Time Buyer,Email,11,Friday,49,0,0,0,24,42,0.3330335,0,user_1127,item_467
385.14,20,Toys,First-Time Buyer,Referral,11,Saturday,12,0,0,0,28,44,0.3762022,0,user_134,item_516
224.63,50,Home,Flash Sale,Referral,13,Wednesday,19,0,0,0,19,45,0.81869304,1,user_1107,item_929
106.97,0,Books,Generic,Social Media,20,Wednesday,12,1,0,1,31,43,0.32186836,0,user_1443,item_224
124.16,30,Automotive,Category-Specific,Referral,13,Wednesday,19,0,0,0,20,61,0.14131287,0,user_663,item_576
43.89,0,Beauty,Abandoned Cart Recovery,Push Notification,16,Tuesday,46,1,0,1,19,45,0.09291507,0,user_1704,item_572
337.98,20,Electronics,Category-Specific,Social Media,11,Monday,44,1,0,1,26,50,0.4470776,0,user_1798,item_888
321.76,0,Beauty,Abandoned Cart Recovery,Referral,15,Saturday,55,0,0,0,25,47,0.49421537,0,user_215,item_899
123.75,20,Home,Flash Sale,Referral,13,Friday,55,1,0,1,18,61,0.24067555,0,user_622,item_865
183.52,50,Apparel,Category-Specific,Referral,17,Wednesday,38,1,0,1,19,53,0.72553194,1,user_269,item_767
222.43,20,Automotive,First-Time Buyer,Social Media,20,Sunday,36,0,0,0,23,58,0.33468372,0,user_737,item_783
204.57,0,Toys,Flash Sale,Email,21,Wednesday,11,0,0,0,19,50,0.3118187,0,user_1152,item_611
62.85,30,Toys,Flash Sale,Email,18,Saturday,57,1,0,1,25,53,0.09870326,0,user_1183,item_642
132.36,10,Toys,Flash Sale,On-site Banner,18,Saturday,22,0,0,0,20,41,0.475611,0,user_1811,item_853
300.71,10,Sports,Flash Sale,Push Notification,11,Sunday,30,0,0,0,23,66,0.34910333,0,user_1560,item_923
428.09,20,Beauty,Flash Sale,Referral,9,Wednesday,12,0,0,0,23,53,0.35962072,0,user_1604,item_416
244.06,50,Toys,Generic,Email,12,Monday,30,0,0,0,34,50,0.840183,1,user_1104,item_510
328.67,20,Electronics,Category-Specific,Email,10,Friday,47,0,0,0,27,40,0.35709047,0,user_1130,item_128
318.1,10,Home,Flash Sale,Email,17,Thursday,41,1,0,1,23,55,0.24261096,0,user_653,item_943
27.61,10,Footwear,First-Time Buyer,Social Media,15,Wednesday,12,0,0,0,24,36,0.2806883,0,user_1613,item_558
463.62,30,Toys,Generic,Email,11,Tuesday,4,1,0,1,25,44,0.30178046,0,user_540,item_789
277.01,10,Electronics,Category-Specific,Social Media,21,Sunday,56,0,0,0,25,66,0.34143028,0,user_105,item_369
182.08,0,Automotive,Abandoned Cart Recovery,On-site Banner,10,Thursday,19,0,1,1,26,49,0.4079206,0,user_526,item_169
254.0,30,Apparel,Category-Specific,Push Notification,11,Sunday,50,1,0,1,18,47,0.4631994,0,user_709,item_351
345.65,30,Sports,First-Time Buyer,Referral,17,Friday,47,1,0,1,20,57,0.32150614,0,user_1577,item_328
40.26,50,Grocery,Flash Sale,Push Notification,9,Monday,23,1,0,1,36,47,0.5361445,1,user_1430,item_627
358.91,70,Electronics,Category-Specific,Social Media,13,Thursday,53,0,0,0,18,45,0.6694138,1,user_155,item_59
35.57,0,Apparel,Category-Specific,On-site Banner,20,Tuesday,18,1,0,1,34,53,0.16332917,0,user_1791,item_932
480.05,20,Electronics,Category-Specific,Referral,19,Tuesday,24,0,0,0,30,48,0.43868956,0,user_1047,item_533
250.72,20,Automotive,First-Time Buyer,Push Notification,20,Wednesday,7,1,0,1,26,47,0.35774514,0,user_841,item_71
269.3,10,Grocery,Flash Sale,Push Notification,11,Tuesday,40,0,0,0,19,45,0.48597258,0,user_98,item_51
485.73,30,Footwear,Generic,Referral,19,Sunday,9,1,0,1,23,57,0.11278424,0,user_756,item_102
246.41,50,Books,Generic,On-site Banner,16,Monday,2,1,0,1,21,38,0.75402975,1,user_52,item_395
87.12,0,Books,First-Time Buyer,Push Notification,11,Sunday,14,1,0,1,35,48,0.34946686,0,user_1,item_403
163.91,20,Electronics,Category-Specific,Referral,12,Thursday,48,0,0,0,27,44,0.46756926,0,user_1645,item_419
